Object Unique ID,Level,File name,File use,Type of Resource,Language,Title,Title,Subtitle,Translation,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Variant,Begin date,Begin date,Date:creation,Date:creation,End date,End date,File name 2,File use 2,Identifier:filename,Identifier:filename,Note:local attribution,Note:note,Note:note,Note:note,Note:note,Note:publication,Note:publication,Note:series,Note:series,Subject:topic
http://library.ucsd.edu/ark:/20775/bb4813423q,Object,20775-bb4813423q-0-1.pdf,document-service,text,,UCSD Guardian,,,,Daily Guardian,The Guardian,Triton Times,Guardian,,,,,,,,,,,,,2/10/1994,,10-Feb-94,,2/10/1994,,20775-bb4813423q-0-2.tgz,document-source,VOLUME81_ISSUE12_THURSDAYFEBRUARY10_1994.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)",PDF file includes photographs,"The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",,,"La Jolla, CA",,"Volume 81, Issue 12",,
http://library.ucsd.edu/ark:/20775/bb8943155k,Object,20775-bb8943155k-0-1.pdf,document-service,text,,Guardian,,,,Daily Guardian,The Guardian,Triton Times,UCSD Guardian,,,,,,,,,,,,,5/7/1979,,7-May-79,,5/7/1979,,20775-bb8943155k-0-2.tgz,document-source,VOLUME37_ISSUE16_MONDAYMAY7_1979.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)",PDF file includes photographs,"The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",,,"La Jolla, CA",,"Volume 37, Issue 16",,
http://library.ucsd.edu/ark:/20775/bb47792902,Object,20775-bb47792902-0-1.pdf,document-service,text,,UCSD Guardian,,,,Guardian,The Guardian,Triton Times,Daily Guardian,,,,,,,,,,,,,5/21/1987,,21-May-87,,5/21/1987,,20775-bb47792902-0-2.tgz,document-source,VOLUME58_ISSUE56_THURSDAYMAY21_1987.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 58, Issue 56",,
http://library.ucsd.edu/ark:/20775/bb75779516,Object,20775-bb75779516-0-1.pdf,document-service,text,,UCSD Guardian,,,,The Guardian,Guardian,Triton Times,Daily Guardian,,,,,,,,,,,,,5/7/1987,,7-May-87,,5/7/1987,,20775-bb75779516-0-2.tgz,document-source,VOLUME58_ISSUE52_THURSDAYMAY7_1987.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)",PDF file includes photographs,"The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",,,"La Jolla, CA",,"Volume 58, Issue 52",,
http://library.ucsd.edu/ark:/20775/bb0479396b,Object,2014-01-16.pdf,document-service,text,eng - English,UCSD Guardian,,,,Triton Times,Guardian,Daily Guardian,The Guardian,,,,,,,,,,,,,1/16/2014,,16-Jan-14,,1/16/2014,,,,2014-01-16.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 -November 26, 1980); The Guardian (January 5, 1981 -June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 47, Issue 24",,Newspaper
http://library.ucsd.edu/ark:/20775/bb23906782,Object,2014-03-10.pdf,document-service,text,eng - English,UCSD Guardian,,,,Triton Times,Guardian,Daily Guardian,The Guardian,,,,,,,,,,,,,3/10/2014,,10-Mar-14,,3/10/2014,,,,2014-03-10.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 -November 26, 1980); The Guardian (January 5, 1981 -June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 47, Issue 39",,Newspaper
http://library.ucsd.edu/ark:/20775/bb86701140,Object,20775-bb86701140-0-1.pdf,document-service,text,,Triton Times,,,,Guardian,UCSD Guardian,The Guardian,Daily Guardian,,,,,,,,,,,,,3/16/1977,,16-Mar-77,,3/16/1977,,20775-bb86701140-0-2.tgz,document-source,VOLUME30_ISSUE28_WEDNESDAYMARCH16_1977.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 30, Issue 28",,
http://library.ucsd.edu/ark:/20775/bb5837320f,Object,20775-bb5837320f-0-1.pdf,document-service,text,,The Guardian,,,,Triton Times,Guardian,Daily Guardian,UCSD Guardian,,,,,,,,,,,,,1/5/1981,,5-Jan-81,,1/5/1981,,20775-bb5837320f-0-2.tgz,document-source,VOLUME42_ISSUE1_MONDAYJANUARY5_1981.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)",PDF file includes photographs,"The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 -November 26, 1980); The Guardian (January 5, 1981 -June 4, 1981); UCSD Guardian (September 15, 1981 -)",,,"La Jolla, CA",,"Volume 42, Issue 1",,
http://library.ucsd.edu/ark:/20775/bb2014764j,Object,20775-bb2014764j-0-1.pdf,document-service,text,,UCSD Guardian,,,,Guardian,Triton Times,The Guardian,Daily Guardian,,,,,,,,,,,,,10/15/1990,,15-Oct-90,,10/15/1990,,20775-bb2014764j-0-2.tgz,document-source,VOLUME71_ISSUE9_MONDAYOCTOBER15_1990.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 71, Issue 9",,
http://library.ucsd.edu/ark:/20775/bb32093141,Object,20775-bb32093141-0-1.pdf,document-service,text,,UCSD Guardian,,,,The Guardian,Daily Guardian,Guardian,Triton Times,,,,,,,,,,,,,10/26/2000,,26-Oct-00,,10/26/2000,,20775-bb32093141-0-2.tgz,document-source,VOLUME101_ISSUE11_THURSDAYOCTOBER26_2000.pdf,,"Special Collections & Archives, UC San Diego, La Jolla, 92093-0175 (http://libraries.ucsd.edu/collections/sca/)","The UCSD student newspaper has been published under the five following titles during its existence: Triton Times (May 26, 1967 - June 9, 1978); Guardian (September 19, 1978 - June 1, 1979); Daily Guardian (June 4, 1979 - November 26, 1980); The Guardian (January 5, 1981 - June 4, 1981); UCSD Guardian (September 15, 1981 -)",PDF file includes photographs,,,"La Jolla, CA",,"Volume 101, Issue 11",,
